                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.985,                 3.3384,                 1.8391,                0.00426,                0.39125,                0.06946,                0.02895,                 2.0857,                 3.4597,                 2.0498,             0.00054625,             0.00054625,             0.00054625
                      2,                 1.9974,                 2.8451,                 1.8704,                0.26146,                0.28979,                0.15284,                0.06103,                 2.2571,                 3.1442,                 2.1882,              0.0010656,              0.0010656,              0.0010656
                      3,                 2.0087,                 2.6919,                 1.8951,                0.27584,                0.28776,                0.19776,                0.07053,                 2.3994,                 5.7692,                 2.3845,              0.0015482,              0.0015482,              0.0015482
                      4,                 1.9914,                 2.5396,                 1.8399,                0.30373,                0.31005,                0.20749,                 0.0899,                 2.2189,                 4.4538,                 2.0426,               0.001502,               0.001502,               0.001502
                      5,                 1.9939,                 2.4577,                 1.8275,                0.37795,                0.28883,                0.27643,                0.12224,                 2.2666,                 3.1497,                 2.1601,               0.001447,               0.001447,               0.001447
                      6,                  1.963,                 2.3315,                 1.8389,                0.34052,                0.32589,                0.28918,                0.12345,                 2.2146,                 2.6503,                 1.9966,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.9455,                 2.2161,                 1.7686,                0.50391,                0.49034,                0.43455,                0.20755,                 2.0406,                 2.2462,                 1.8534,              0.0013369,              0.0013369,              0.0013369
                      8,                  1.919,                 2.1486,                 1.7836,                0.42146,                0.49892,                0.41873,                0.19972,                 2.0207,                 2.0849,                   1.86,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.8881,                 2.0559,                 1.7395,                 0.4734,                  0.439,                0.40975,                0.20623,                 1.8923,                 2.1384,                 1.7778,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.8427,                 2.0619,                 1.7286,                0.55375,                0.52666,                 0.5146,                0.25271,                 1.8913,                 1.9157,                 1.7787,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.8262,                 1.9899,                 1.6914,                0.52539,                0.54857,                0.51304,                0.27221,                 1.8641,                 1.8507,                 1.7364,              0.0011169,              0.0011169,              0.0011169
                     12,                  1.793,                 1.9379,                 1.7018,                0.56525,                0.54235,                 0.5392,                0.26356,                 1.8177,                 1.8914,                 1.7109,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.7503,                 1.8683,                 1.6681,                0.59941,                0.55474,                0.53076,                0.28149,                 1.7846,                 1.8055,                  1.711,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.7429,                 1.8349,                 1.6404,                0.62743,                0.61622,                0.61569,                0.32716,                 1.7277,                 1.7237,                 1.6124,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.7561,                 1.8282,                 1.6423,                0.60068,                0.50597,                0.53589,                0.29206,                 1.7878,                 1.8326,                  1.699,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.7522,                 1.7763,                 1.6441,                0.63209,                0.61089,                0.62215,                0.37036,                  1.661,                 1.5999,                 1.6242,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.7162,                 1.7607,                 1.6278,                0.65872,                0.63931,                0.62909,                0.35771,                 1.6637,                 1.4799,                 1.5815,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.7017,                 1.7181,                 1.6063,                0.61003,                0.64242,                0.59712,                0.34266,                 1.6679,                 1.5069,                  1.594,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.6711,                 1.6712,                 1.5997,                0.67466,                0.69082,                0.67213,                0.39306,                   1.62,                 1.4273,                 1.5724,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.6597,                 1.6004,                 1.5593,                0.62466,                0.65789,                 0.6553,                0.37036,                 1.5896,                 1.4242,                 1.5289,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.6925,                 1.6662,                 1.6278,                0.70101,                0.65359,                0.63803,                 0.3871,                 1.5907,                 1.5184,                 1.5478,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.6447,                 1.5377,                 1.5793,                0.71192,                0.65272,                0.68849,                 0.4154,                 1.5343,                 1.3325,                 1.4898,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.6239,                 1.4914,                 1.5626,                0.68622,                0.69446,                0.69871,                0.43323,                 1.5227,                 1.2861,                 1.4757,             0.00045676,             0.00045676,             0.00045676
                     24,                  1.613,                 1.4482,                 1.5591,                0.72352,                0.69192,                0.71667,                0.44816,                 1.5002,                 1.2205,                 1.4582,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.5628,                 1.4127,                  1.515,                0.68472,                0.73435,                0.73509,                0.45286,                 1.4365,                 1.1779,                 1.4149,             0.00034674,             0.00034674,             0.00034674
                     26,                 1.5352,                  1.347,                 1.4941,                0.71608,                 0.7624,                0.75165,                0.48083,                 1.4097,                 1.1298,                 1.4015,             0.00029172,             0.00029172,             0.00029172
                     27,                 1.5249,                 1.3321,                 1.4914,                0.72908,                0.73437,                0.75684,                0.47729,                  1.401,                 1.1169,                 1.3872,             0.00023671,             0.00023671,             0.00023671
                     28,                 1.4934,                 1.2992,                 1.4733,                0.70169,                0.77681,                0.76304,                0.50301,                 1.3812,                 1.0816,                 1.3766,              0.0001817,              0.0001817,              0.0001817
